GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby.datasource,EmbeddedDerbyDataSourceResource.EmbeddedDerbyDataSourceFactoryImpl,0,109,0,12,0,33,0,14,0,8
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby.datasource,EmbeddedDerbyDataSourceResource,0,27,0,0,0,6,0,3,0,3
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby,DerbyResourceConfig,0,238,0,4,0,86,0,31,0,29
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby,DbCreateFromRestroreMode,0,66,0,0,0,10,0,6,0,6
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby,ErrorLoggingMode,0,38,0,0,0,3,0,4,0,4
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby,EmbeddedDerbyResource.new Object() {...},2,17,0,0,0,1,0,1,0,1
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby,EmbeddedDerbyResource,35,468,1,31,8,128,1,35,0,20
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby,DerbyConstants,0,3,0,0,0,2,0,1,0,1
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby,JdbcDerbySubSubProtocol,0,90,0,0,0,11,0,6,0,6
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby.util,DerbyUtils,4,40,0,4,2,15,0,6,0,4
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby.util,DerbyUtils.new OutputStream() {...},0,4,0,0,0,2,0,2,0,2
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby.util,DerbyBackupOperationsHelper,0,104,0,8,0,30,0,8,0,4
Deventropy JUnit Helper :: Derby,org.deventropy.junithelper.derby.util,DerbyScriptRunner,0,124,0,2,0,34,0,8,0,7
